category,protocol_name,num_forks,total_tvl,tvl_orig,tvl_forks,forks_names
Yield,Planet Farm,0,1457517.1902190784,1457517.1902190784,0,[]
Yield,Scrub Invest,0,1353204.4423709258,1353204.4423709258,0,[]
Yield,Hyper Finance,0,1344271.595755261,1344271.595755261,0,[]
Yield,Golff Protocol,0,1339502.6903609545,1339502.6903609545,0,[]
Yield,Popcorn,0,1316363.967081804,1316363.967081804,0,[]
Yield,Liquid Finance,0,1295111.351004361,1295111.351004361,0,[]
Yield,Revault,0,1294845.9082265063,1294845.9082265063,0,[]
Yield,Mero,0,1294333.1656282186,1294333.1656282186,0,[]
Yield,PembRock Finance,0,1248915.794527503,1248915.794527503,0,[]
Yield,Fractal Protocol,0,1158542.5266828923,1158542.5266828923,0,[]
Yield,Universe XYZ,0,1149727.499227407,1149727.499227407,0,[]
Yield,SpiralDao,0,1108821.999948352,1108821.999948352,0,[]
Yield,0xDAO,1,1303310.3215332238,1090103.455959153,213206.86557407095,['Penrose']
Yield,Defily,0,1051917.113804752,1051917.113804752,0,[]
Yield,Neutra Finance,0,1017146.1763567228,1017146.1763567228,0,[]
Yield,APY Finance,0,901383.903994,901383.903994,0,[]
Yield,Sense,0,883997.5877080079,883997.5877080079,0,[]
Yield,Pacoca,0,851483.64253785,851483.64253785,0,[]
Yield,Spectrum Protocol,0,809728.8240738886,809728.8240738886,0,[]
Yield,Alchemist,0,795707.2438575218,795707.2438575218,0,[]
Yield,Swamp Finance,0,786222.7156636363,786222.7156636363,0,[]
Yield,Sector Finance,0,771061.3073555672,771061.3073555672,0,[]
Yield,Grim Finance,0,753331.0158534,753331.0158534,0,[]
Yield,BTCST,0,683350.0749328391,683350.0749328391,0,[]
Yield,TEN Finance,0,670056.7711251107,670056.7711251107,0,[]
Yield,iZUMi LiquidBox,0,660388.3814171623,660388.3814171623,0,[]
Yield,Ruby.Exchange Yield,0,610628.3805066396,610628.3805066396,0,[]
Yield,ReHold,0,596904.1216798073,596904.1216798073,0,[]
Yield,Tranche Finance,0,558877.940539017,558877.940539017,0,[]
Yield,Volmex,0,546972.4196468601,546972.4196468601,0,[]
Yield,Big Data Protocol,0,530323.5590750705,530323.5590750705,0,[]
Yield,Kogefarm,0,499390.4571512945,499390.4571512945,0,[]
Yield,Rift Finance,0,464820.6710774731,464820.6710774731,0,[]
Yield,Growth DeFi,0,433786.18716596166,433786.18716596166,0,[]
Yield,NFTb,0,433058.8928283844,433058.8928283844,0,[]
Yield,Steroids,0,425763.2778853022,425763.2778853022,0,[]
Yield,Mover,0,379671.7225341147,379671.7225341147,0,[]
Yield,Penguin Finance,0,373994.8628953881,373994.8628953881,0,[]
Yield,Swivel Finance,0,364374.8779306669,364374.8779306669,0,[]
Yield,ZooDAO,0,357885.87038044655,357885.87038044655,0,[]
Yield,Guru Network,0,356942.4290936488,356942.4290936488,0,[]
Yield,Unagii,0,347398.6437027692,347398.6437027692,0,[]
Yield,Axion,0,323460.72879089,323460.72879089,0,[]
Yield,Optimus,0,304783.9055914726,304783.9055914726,0,[]
Yield,CityCoins,0,278173.25202393,278173.25202393,0,[]
Yield,Mars Poolin,0,270165.4785878544,270165.4785878544,0,[]
Yield,MagicFox Vaults,0,261963.64492292737,261963.64492292737,0,[]
Yield,Adamant Finance,0,256295.526292766,256295.526292766,0,[]
Yield,Float Protocol,0,251317.8286961982,251317.8286961982,0,[]
Yield,Paraluni Masterchef,0,238847.1505933388,238847.1505933388,0,[]
Yield,METF Finance,0,235761.30032839783,235761.30032839783,0,[]
Yield,YieldWolf,0,231205.840697902,231205.840697902,0,[]
Yield,Bent Finance,0,230356.0084231997,230356.0084231997,0,[]
Yield,HedgeFarm,0,218726.3955762,218726.3955762,0,[]
Yield,Timeless Finance,0,216629.77791742876,216629.77791742876,0,[]
Yield,UniPower,0,212814.748609771,212814.748609771,0,[]
Yield,Layer2 Finance,0,207421.3711862407,207421.3711862407,0,[]
Yield,Moonpot,0,205664.59,205664.59,0,[]
Yield,Nexus Protocol,0,205435.67853538296,205435.67853538296,0,[]
Yield,Black Whale,0,205109.6491418114,205109.6491418114,0,[]
Yield,GOGOcoin,0,202552.250205,202552.250205,0,[]
Yield,Seashell,0,190746.81857285413,190746.81857285413,0,[]
Yield,Mole,0,188538.00922502187,188538.00922502187,0,[]
Yield,FIAT DAO,0,188347.28420439112,188347.28420439112,0,[]
Yield,Timewarp,0,183474.30283931564,183474.30283931564,0,[]
Yield,StakeSteak,0,181407.63896752452,181407.63896752452,0,[]
Yield,Cometa,0,178802.89158447375,178802.89158447375,0,[]
Yield,DMD Finance,0,174980.811079727,174980.811079727,0,[]
Yield,Augury Finance,0,155590.35706973213,155590.35706973213,0,[]
Yield,Furucombo,0,152150.941192,152150.941192,0,[]
Yield,HFIone,0,141808.49156493344,141808.49156493344,0,[]
Yield,OSWAP Token,0,139365.60017141124,139365.60017141124,0,[]
Yield,FoxSwap,0,139056.41782545674,139056.41782545674,0,[]
Yield,BtnGroup,0,132668.41,132668.41,0,[]
Yield,Olive Cash,0,127729.44495139131,127729.44495139131,0,[]
Yield,Doki Doki Finance,0,106658.54452150174,106658.54452150174,0,[]
Yield,PolyCub,0,105205.10002603193,105205.10002603193,0,[]
Yield,Manhattan,0,104143.28477567004,104143.28477567004,0,[]
Yield,Polywhale Finance,0,103546.94045125166,103546.94045125166,0,[]
